id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Provide me beginner dinner recipe for 3 people
5,Tomato, salmon, onion; suggest me a quick brunch recipe
6,bug,worm,dog; suggest me a dinner recipe
7,give me a sweet dish for 2 people in 30s
8,guilty pleasure and delicate American dish for 1 person, 1 hour long
9,I got spaghetti squash. Tell me what I can make. 
10, Give me a quick and simple recipe less than 5 mins
